Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Kennel/Daycare Attendant,Paws and Claws Pet Care Inc.,"Rochester, NY",6 days ago,$14–$16                                              Per Hour                                             Full-time                                             Part-time                                             Actively Hiring,art-jobs
2023-08-29,Current Openings,Mendocino County,"Ukiah, CA",27 days ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Animal Care Specialist 3 $22.00/HR-$26.00/HR (Marine Mammal),Six Flags Discovery Kingdom,"Vallejo, CA",13 days ago,Actively Hiring,art-jobs
2023-08-29,Kennel Attendant,"Natural Gas Liquids, Inc.","Sealy, TX",10 days ago,Actively Hiring,art-jobs
2023-08-29,Animation Adjunct Instructor Applicant Pool,College of the Canyons,"Santa Clarita, CA",27 days ago,Part-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Animal Husbandry Technician,Eclaro,"Chapel Hill, NC",1 day ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,R&D OPS - Laboratory Animal Technician Laboratory Animal Technician,Eclaro,"Redwood City, CA",1 day ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Cleveland Park Animal Hospital - Simpsonville,Community Veterinary Partners,"Simpsonville, SC",Today,Actively Hiring,art-jobs
2023-08-29,Animal Care Specialist 2 (Marine Mammal) $20.00/HR- $22.00/HR,Six Flags Discovery Kingdom,"Vallejo, CA",13 days ago,Actively Hiring,art-jobs
2023-08-29,Kennel/Daycare Attendant,Paws and Claws Pet Care Inc.,"Rochester, NY",6 days ago,$14–$16                                              Per Hour                                             Full-time                                             Part-time                                             Actively Hiring,art-jobs
2023-08-29,Current Openings,Mendocino County,"Ukiah, CA",27 days ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Animal Care Specialist 3 $22.00/HR-$26.00/HR (Marine Mammal),Six Flags Discovery Kingdom,"Vallejo, CA",13 days ago,Actively Hiring,art-jobs
2023-08-29,Kennel Attendant,"Natural Gas Liquids, Inc.","Sealy, TX",10 days ago,Actively Hiring,art-jobs
2023-08-29,Animation Adjunct Instructor Applicant Pool,College of the Canyons,"Santa Clarita, CA",27 days ago,Part-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Animal Husbandry Technician,Eclaro,"Chapel Hill, NC",1 day ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,R&D OPS - Laboratory Animal Technician Laboratory Animal Technician,Eclaro,"Redwood City, CA",1 day ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
2023-08-29,Cleveland Park Animal Hospital - Simpsonville,Community Veterinary Partners,"Simpsonville, SC",Today,Actively Hiring,art-jobs
2023-08-29,Animal Care Specialist 2 (Marine Mammal) $20.00/HR- $22.00/HR,Six Flags Discovery Kingdom,"Vallejo, CA",13 days ago,Actively Hiring,art-jobs
2023-08-29,Kennel/Daycare Attendant,Paws and Claws Pet Care Inc.,"Rochester, NY",6 days ago,$14–$16                                              Per Hour                                             Full-time                                             Part-time                                             Actively Hiring,art-jobs
2023-08-29,Current Openings,Mendocino County,"Ukiah, CA",27 days ago,Full-time                                             Employee                                             Actively Hiring,art-jobs
