Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,Janitor Oncall -033,"U.S. Facilities, Inc.","Egg Harbor Township, NJ",5 days ago,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Sr. Custodian,UC Santa Barbara,"Santa Barbara, CA",5 days ago,$21.36–$27.65                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Janitor Oncall -033,US Facilities Inc,"Egg Harbor Township, NJ",4 days ago,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Janitor - 33,US Facilities Inc,"Egg Harbor Township, NJ",Today,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Metals Cleaner- 2nd Shift,"Ametek, Inc.","lancaster, PA",Today,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Custodian,The Walker School,"Marietta, GA",18 days ago,Full-time                                             Actively Hiring,building-maintenance-jobs
2023-08-28,School Custodian,Hopkinton Public Schools,"Hopkinton, MA",12 days ago,$20.58–$24.19                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Airframes Mechanic I,"ACET, Inc.","California, MD",19 days ago,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Railcar Cleaner I,Cathcart Rail,"Maumee, OH",4 days ago,Actively Hiring,building-maintenance-jobs
2023-08-28,Janitor Oncall -033,"U.S. Facilities, Inc.","Egg Harbor Township, NJ",5 days ago,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Sr. Custodian,UC Santa Barbara,"Santa Barbara, CA",5 days ago,$21.36–$27.65                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Janitor Oncall -033,US Facilities Inc,"Egg Harbor Township, NJ",4 days ago,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
2023-08-28,Janitor - 33,US Facilities Inc,"Egg Harbor Township, NJ",Today,Full-time                                             Employee                                             Actively Hiring,building-maintenance-jobs
