Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,Speech/Language Pathologist,Universal Speech Therapy,"San Jose, CA",15 days ago,$70–$70                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Sign Language Interpreter,VBeyond,"Auburn, WA",4 days ago,$50–$60                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Chinese Language Translator,Leidos,"Greenwood Village, CO",9 days ago,Actively Hiring,communications-jobs
2023-08-28,American Sign Language Adjunct Instructor Applicant Pool,College of the Canyons,"Santa Clarita, CA",26 days ago,Part-time                                             Employee                                             Actively Hiring,communications-jobs
2023-08-28,Bilingual Speech Language Pathologist,Linn Benton Lincoln ESD,"ALBANY, OR",Today,"$47,707–$88,485                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",communications-jobs
2023-08-28,Oil Lab Interpreter,Holt Texas,"San Antonio, TX",30+ days ago,Actively Hiring,communications-jobs
2023-08-28,Spanish Translator,TEKsystems,"Charlotte, NC",6 days ago,Actively Hiring,communications-jobs
2023-08-28,INTERPRETER CERTIFIED ASL,University of New Mexico - Hospitals,"Edgewood, NM",Today,Actively Hiring,communications-jobs
2023-08-28,Speech Language Pathologist - SLP - Full Time- Monday- Friday- CCCs Required,ProMedica Senior Care,"Belvedere, CA",6 days ago,Actively Hiring,communications-jobs
2023-08-28,Speech/Language Pathologist,Universal Speech Therapy,"San Jose, CA",15 days ago,$70–$70                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Sign Language Interpreter,VBeyond,"Auburn, WA",4 days ago,$50–$60                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Chinese Language Translator,Leidos,"Greenwood Village, CO",9 days ago,Actively Hiring,communications-jobs
2023-08-28,American Sign Language Adjunct Instructor Applicant Pool,College of the Canyons,"Santa Clarita, CA",26 days ago,Part-time                                             Employee                                             Actively Hiring,communications-jobs
2023-08-28,Bilingual Speech Language Pathologist,Linn Benton Lincoln ESD,"ALBANY, OR",Today,"$47,707–$88,485                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",communications-jobs
2023-08-28,Oil Lab Interpreter,Holt Texas,"San Antonio, TX",30+ days ago,Actively Hiring,communications-jobs
2023-08-28,Spanish Translator,TEKsystems,"Charlotte, NC",6 days ago,Actively Hiring,communications-jobs
2023-08-28,INTERPRETER CERTIFIED ASL,University of New Mexico - Hospitals,"Edgewood, NM",Today,Actively Hiring,communications-jobs
2023-08-28,Speech Language Pathologist - SLP - Full Time- Monday- Friday- CCCs Required,ProMedica Senior Care,"Belvedere, CA",6 days ago,Actively Hiring,communications-jobs
2023-08-28,Speech/Language Pathologist,Universal Speech Therapy,"San Jose, CA",15 days ago,$70–$70                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Sign Language Interpreter,VBeyond,"Auburn, WA",4 days ago,$50–$60                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,communications-jobs
2023-08-28,Chinese Language Translator,Leidos,"Greenwood Village, CO",9 days ago,Actively Hiring,communications-jobs
