Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,Powertrain Engineer,Stefanini,"Greensboro, NC",10 days ago,$53.50–$55.50                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,engineering-jobs
2023-08-28,Specialist Engineer / Avionics and Test,Aerojet Rocketdyne,"Canoga Park, CA",12 days ago,Actively Hiring,engineering-jobs
2023-08-28,Airworthiness Engineer 4,Beacon Hill Staffing Group,"St. Louis, MO",19 days ago,$70–$78                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,Senior Electrical Avionics Engineer,Aerojet Rocketdyne,"Culpeper, VA",Today,Actively Hiring,engineering-jobs
2023-08-28,Electrical Engineer - Mixed Signal and Microwave,Softworld Inc,"Chestnut Hill, MA",11 days ago,Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,"Senior Engineer, Propulsion Systems Analysis",Aerojet Rocketdyne,"Jupiter, FL",9 days ago,Actively Hiring,engineering-jobs
2023-08-28,Engr Traffic Operations,"Iteris, Inc.","Clair-Mel City, FL",8 days ago,Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,Systems Engineer - Aerospace Systems,Arete,"Tucson, AZ",Today,Actively Hiring,engineering-jobs
2023-08-28,"Aerospace System Safety Engineer (Experienced, Lead or Senior)",BOEING,"Berkeley, MO",Today,Actively Hiring,engineering-jobs
2023-08-28,Powertrain Engineer,Stefanini,"Greensboro, NC",10 days ago,$53.50–$55.50                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,engineering-jobs
2023-08-28,Specialist Engineer / Avionics and Test,Aerojet Rocketdyne,"Canoga Park, CA",12 days ago,Actively Hiring,engineering-jobs
2023-08-28,Airworthiness Engineer 4,Beacon Hill Staffing Group,"St. Louis, MO",19 days ago,$70–$78                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,Senior Electrical Avionics Engineer,Aerojet Rocketdyne,"Culpeper, VA",Today,Actively Hiring,engineering-jobs
2023-08-28,"Senior Engineer, Propulsion Systems Analysis",Aerojet Rocketdyne,"Jupiter, FL",9 days ago,Actively Hiring,engineering-jobs
2023-08-28,Engr Traffic Operations,"Iteris, Inc.","Clair-Mel City, FL",8 days ago,Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,Systems Engineer - Aerospace Systems,Arete,"Tucson, AZ",Today,Actively Hiring,engineering-jobs
2023-08-28,"Aerospace System Safety Engineer (Experienced, Lead or Senior)",BOEING,"Berkeley, MO",Today,Actively Hiring,engineering-jobs
2023-08-28,Flight Test Engineer (Experienced or Senior),BOEING,"Seattle, WA",Today,Actively Hiring,engineering-jobs
2023-08-28,Biomechanical Test Engineer,Sovereign Technologies,"Warsaw, IN",7 days ago,Full-time                                             Employee                                             Actively Hiring,engineering-jobs
2023-08-28,Powertrain Engineer,Stefanini,"Greensboro, NC",10 days ago,$53.50–$55.50                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,engineering-jobs
2023-08-28,Specialist Engineer / Avionics and Test,Aerojet Rocketdyne,"Canoga Park, CA",12 days ago,Actively Hiring,engineering-jobs
