Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,Manager Airport Store - Located in Boston Logan International Airport,Hudson,"Lynn, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Boston Logan International Airport,Hudson,"Chelsea, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager Airport Store - Located in Pittsburgh International Airport,Hudson,"West Mifflin, PA",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Pittsburgh International Airport,Hudson,"Irondale, OH",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Assistant Store Manager - Airport - Located in Burlington International Airport,Hudson,"Vergennes, VT",19 days ago,Actively Hiring,executive-jobs
2023-08-28,Operations Engineer,University of Maine System,"Orono, ME",18 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Area Manager - Service Shop (Transportation),Walmart Transportation,"Pottsville, PA",14 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Corporate EHS Manager - Food/Transportation,Wavepoint3pl,"North East, PA",10 days ago,,executive-jobs
2023-08-28,Logistics Rates Manager - Rail Transportation 3PL,"RSI Logistics, Inc.","Okemos, MI",8 days ago,,executive-jobs
2023-08-28,Manager Airport Store - Located in Boston Logan International Airport,Hudson,"Lynn, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Boston Logan International Airport,Hudson,"Chelsea, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager Airport Store - Located in Pittsburgh International Airport,Hudson,"West Mifflin, PA",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Pittsburgh International Airport,Hudson,"Irondale, OH",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Assistant Store Manager - Airport - Located in Burlington International Airport,Hudson,"Vergennes, VT",19 days ago,Actively Hiring,executive-jobs
2023-08-28,Operations Engineer,University of Maine System,"Orono, ME",18 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Area Manager - Service Shop (Transportation),Walmart Transportation,"Pottsville, PA",14 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Corporate EHS Manager - Food/Transportation,Wavepoint3pl,"North East, PA",10 days ago,,executive-jobs
2023-08-28,Logistics Rates Manager - Rail Transportation 3PL,"RSI Logistics, Inc.","Okemos, MI",8 days ago,,executive-jobs
2023-08-28,Manager Airport Store - Located in Boston Logan International Airport,Hudson,"Lynn, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Boston Logan International Airport,Hudson,"Chelsea, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager Airport Store - Located in Pittsburgh International Airport,Hudson,"West Mifflin, PA",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Pittsburgh International Airport,Hudson,"Irondale, OH",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Assistant Store Manager - Airport - Located in Burlington International Airport,Hudson,"Vergennes, VT",19 days ago,Actively Hiring,executive-jobs
2023-08-28,Operations Engineer,University of Maine System,"Orono, ME",18 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Area Manager - Service Shop (Transportation),Walmart Transportation,"Pottsville, PA",14 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Corporate EHS Manager - Food/Transportation,Wavepoint3pl,"North East, PA",10 days ago,,executive-jobs
2023-08-28,Logistics Rates Manager - Rail Transportation 3PL,"RSI Logistics, Inc.","Okemos, MI",8 days ago,,executive-jobs
2023-08-28,Manager Airport Store - Located in Boston Logan International Airport,Hudson,"Lynn, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Boston Logan International Airport,Hudson,"Chelsea, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager Airport Store - Located in Pittsburgh International Airport,Hudson,"West Mifflin, PA",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Pittsburgh International Airport,Hudson,"Irondale, OH",28 days ago,Actively Hiring,executive-jobs
2023-08-28,Assistant Store Manager - Airport - Located in Burlington International Airport,Hudson,"Vergennes, VT",19 days ago,Actively Hiring,executive-jobs
2023-08-28,Operations Engineer,University of Maine System,"Orono, ME",18 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Area Manager - Service Shop (Transportation),Walmart Transportation,"Pottsville, PA",14 days ago,Full-time                                             Employee,executive-jobs
2023-08-28,Corporate EHS Manager - Food/Transportation,Wavepoint3pl,"North East, PA",10 days ago,,executive-jobs
2023-08-28,Logistics Rates Manager - Rail Transportation 3PL,"RSI Logistics, Inc.","Okemos, MI",8 days ago,,executive-jobs
2023-08-28,Manager Airport Store - Located in Boston Logan International Airport,Hudson,"Lynn, MA",2 days ago,Actively Hiring,executive-jobs
2023-08-28,Manager - Airport Shop - Located in Boston Logan International Airport,Hudson,"Chelsea, MA",2 days ago,Actively Hiring,executive-jobs
