Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-28,BANQUET CAPTAIN,"University of California, San Diego","LA JOLLA, CA",13 days ago,Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Twisted Fork Saloon,"Tacoma, WA",28 days ago,$20–$25                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Assistant Banquet Manager,Murfreesboro Embassy Suites,"Murfreesboro, TN",6 days ago,Actively Hiring,food-service-jobs
2023-08-28,Food Production Manager 2,Sodexo,"FORT GEORGE G MEADE, MD",6 days ago,Actively Hiring,food-service-jobs
2023-08-28,Food Service Manager,Wegmans Food Markets,"Leesburg, VA",Today,Actively Hiring,food-service-jobs
2023-08-28,General Manager - Burger King Durango,Burger King,"Durango, CO",25 days ago,"$50,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",food-service-jobs
2023-08-28,Dining Manager,Arpeggio,"Spring House, PA",4 days ago,Actively Hiring,food-service-jobs
2023-08-28,Officer Dining Manager,Aramark,"Lincoln, NE",3 days ago,Actively Hiring,food-service-jobs
2023-08-28,Banquets Manager,The Estate Yountville,"Yountville, CA",Today,Actively Hiring,food-service-jobs
2023-08-28,BANQUET CAPTAIN,"University of California, San Diego","LA JOLLA, CA",13 days ago,Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Twisted Fork Saloon,"Tacoma, WA",28 days ago,$20–$25                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Assistant Banquet Manager,Murfreesboro Embassy Suites,"Murfreesboro, TN",6 days ago,Actively Hiring,food-service-jobs
2023-08-28,General Manager - Burger King Durango,Burger King,"Durango, CO",25 days ago,"$50,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",food-service-jobs
2023-08-28,Dining Manager,Arpeggio,"Spring House, PA",4 days ago,Actively Hiring,food-service-jobs
2023-08-28,Officer Dining Manager,Aramark,"Lincoln, NE",3 days ago,Actively Hiring,food-service-jobs
2023-08-28,Banquets Manager,The Estate Yountville,"Yountville, CA",Today,Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Talent Up Recruiting,"Lake Charles, LA",12 days ago,Actively Hiring,food-service-jobs
2023-08-28,Fine Dining Professional,The Alotian Club,"Little Rock, AR",1 day ago,Actively Hiring,food-service-jobs
2023-08-28,BANQUET CAPTAIN,"University of California, San Diego","LA JOLLA, CA",13 days ago,Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Twisted Fork Saloon,"Tacoma, WA",28 days ago,$20–$25                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Assistant Banquet Manager,Murfreesboro Embassy Suites,"Murfreesboro, TN",6 days ago,Actively Hiring,food-service-jobs
2023-08-28,General Manager - Burger King Durango,Burger King,"Durango, CO",25 days ago,"$50,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",food-service-jobs
2023-08-28,Dining Manager,Arpeggio,"Spring House, PA",4 days ago,Actively Hiring,food-service-jobs
2023-08-28,Officer Dining Manager,Aramark,"Lincoln, NE",3 days ago,Actively Hiring,food-service-jobs
2023-08-28,Banquets Manager,The Estate Yountville,"Yountville, CA",Today,Actively Hiring,food-service-jobs
2023-08-28,Restaurant Assistant Manager,DQ Grill & Chill,"Superior, WI",12 days ago,Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Talent Up Recruiting,"Lake Charles, LA",12 days ago,Actively Hiring,food-service-jobs
2023-08-28,BANQUET CAPTAIN,"University of California, San Diego","LA JOLLA, CA",13 days ago,Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Kitchen Manager,Twisted Fork Saloon,"Tacoma, WA",28 days ago,$20–$25                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,food-service-jobs
2023-08-28,Assistant Banquet Manager,Murfreesboro Embassy Suites,"Murfreesboro, TN",6 days ago,Actively Hiring,food-service-jobs
2023-08-28,General Manager - Burger King Durango,Burger King,"Durango, CO",25 days ago,"$50,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",food-service-jobs
