Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Bookkeeper,H. Hansen Ind,"Toledo, OH",Today,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Senior Accounts Payable Clerk,ServiceNet,"NORTHAMPTON, MA",4 days ago,"$37,440–$45,760                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeping/ Accounting/ Auditing Clerk -15967,Knowledge Builders Inc,"Brentwood, NY",8 days ago,$17                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Generalist,American Management Association,"Saranac Lake, NY",5 days ago,"$45,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Assistant,RR Electric Heating & Air,"Moorpark, CA",7 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Representative,"Jersey Staffing Solutions, LLC","Basking Ridge, NJ",1 day ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Staff Accountant,"NCB Management, Inc.","Miami, FL",27 days ago,"$65,000–$65,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeper,INSAF Partners #6 dba Petro Max #6,"Corsicana, TX",2 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,EDS MANUFACTURING INC,"Nogales, AZ",12 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Bookkeeper,H. Hansen Ind,"Toledo, OH",Today,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Senior Accounts Payable Clerk,ServiceNet,"NORTHAMPTON, MA",4 days ago,"$37,440–$45,760                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Generalist,American Management Association,"Saranac Lake, NY",5 days ago,"$45,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Assistant,RR Electric Heating & Air,"Moorpark, CA",7 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Representative,"Jersey Staffing Solutions, LLC","Basking Ridge, NJ",1 day ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,AccountStaff,"Pittsburgh, PA",6 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Staff Accountant,"NCB Management, Inc.","Miami, FL",27 days ago,"$65,000–$65,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeper,INSAF Partners #6 dba Petro Max #6,"Corsicana, TX",2 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,Manpower,"Hanover, IN",1 day ago,Actively Hiring,higher-ed-jobs
2023-08-29,Bookkeeper,H. Hansen Ind,"Toledo, OH",Today,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Senior Accounts Payable Clerk,ServiceNet,"NORTHAMPTON, MA",4 days ago,"$37,440–$45,760                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Generalist,American Management Association,"Saranac Lake, NY",5 days ago,"$45,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Assistant,RR Electric Heating & Air,"Moorpark, CA",7 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Representative,"Jersey Staffing Solutions, LLC","Basking Ridge, NJ",1 day ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Staff Accountant,"NCB Management, Inc.","Miami, FL",27 days ago,"$65,000–$65,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeper,INSAF Partners #6 dba Petro Max #6,"Corsicana, TX",2 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,EDS MANUFACTURING INC,"Nogales, AZ",12 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Specialist - Payables,Roscoe Brown Inc,"Murfreesboro, TN",12 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Bookkeeper,H. Hansen Ind,"Toledo, OH",Today,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Senior Accounts Payable Clerk,ServiceNet,"NORTHAMPTON, MA",4 days ago,"$37,440–$45,760                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Generalist,American Management Association,"Saranac Lake, NY",5 days ago,"$45,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Assistant,RR Electric Heating & Air,"Moorpark, CA",7 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Representative,"Jersey Staffing Solutions, LLC","Basking Ridge, NJ",1 day ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Staff Accountant,"NCB Management, Inc.","Miami, FL",27 days ago,"$65,000–$65,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeper,INSAF Partners #6 dba Petro Max #6,"Corsicana, TX",2 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,EDS MANUFACTURING INC,"Nogales, AZ",12 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Specialist - Payables,Roscoe Brown Inc,"Murfreesboro, TN",12 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Bookkeeper,H. Hansen Ind,"Toledo, OH",Today,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Senior Accounts Payable Clerk,ServiceNet,"NORTHAMPTON, MA",4 days ago,"$37,440–$45,760                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Generalist,American Management Association,"Saranac Lake, NY",5 days ago,"$45,000–$55,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Accounting Assistant,RR Electric Heating & Air,"Moorpark, CA",7 days ago,Actively Hiring,higher-ed-jobs
2023-08-29,Accounting Representative,"Jersey Staffing Solutions, LLC","Basking Ridge, NJ",1 day ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Staff Accountant,"NCB Management, Inc.","Miami, FL",27 days ago,"$65,000–$65,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",higher-ed-jobs
2023-08-29,Bookkeeper,INSAF Partners #6 dba Petro Max #6,"Corsicana, TX",2 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
2023-08-29,Accounts Payable Clerk,EDS MANUFACTURING INC,"Nogales, AZ",12 days ago,Full-time                                             Employee                                             Actively Hiring,higher-ed-jobs
