Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Art Conservator,Ladgov Corporation,"Aurora, CO",11 days ago,,library-jobs
2023-08-29,Associate Conservator of Paintings,Carnegie Museums of Pittsburgh,"Pittsburgh, Pennsylvania",4 days ago,Full-time,library-jobs
2023-08-29,Conservator of Photographs,AMON CARTER MUSEUM OF WESTERN ART,"Fort Worth, TX",11 days ago,,library-jobs
2023-08-29,Conservator of Photographs,Amon Carter Museum of American Art,"Fort Worth, TX",6 days ago,,library-jobs
2023-08-29,Conservation Technician,Missouri History Museum,"St. Louis, MO",27 days ago,$18–$20                                              Per Hour                                             Full-time,library-jobs
2023-08-29,(Global Oil Gas) Museum Conservator,MatchaTalent,"New York, NY",15 days ago,,library-jobs
2023-08-29,Associate Conservator of Photographs,"J. Paul Getty Trust, The","Los Angeles, CA",30+ days ago,,library-jobs
2023-08-29,Show Set Designer,Acomb Ostendorf and Associates LLC,"Winter Park, FL",3 days ago,,library-jobs
2023-08-29,Conservation Technician,University of Pennsylvania,"Philadelphia, PA",1 day ago,,library-jobs
2023-08-29,Conservation Technician,Evergreene Architectural Arts,"Washington DC, District of Columbia",8 days ago,,library-jobs
2023-08-29,Museum Technician,National Park Service,"Farmington, PA",Today,,library-jobs
2023-08-29,Museum Conservator - Full Time,Paisley Park,"Chanhassen, MN",10 days ago,$24–$26,library-jobs
2023-08-29,Conservation Technician,South Dakota State Government,"Chamberlain, SD",12 days ago,,library-jobs
2023-08-29,Assistant Objects Conservator,BROOKLYN INSTITUTE OF ARTS AND SCIE,"Brooklyn, NY",30+ days ago,,library-jobs
2023-08-29,Assistant Paper Conservator,Harvard University,"Cambridge, MA",21 days ago,,library-jobs
2023-08-29,Conservation Technician I,Princeton University,"Princeton, NJ",30+ days ago,,library-jobs
2023-08-29,Assistant Preparator (On-Call),Portland Art Museum,"Portland, OR",13 days ago,,library-jobs
2023-08-29,Conservation Technician,National Experienced Workforce Solutions,"Verona, VA",30+ days ago,,library-jobs
2023-08-29,Conservation Technician,NOWCC,"Lake City, FL",5 days ago,,library-jobs
2023-08-29,Conservation Technician,National Older Worker Career Center,"Lake City, FL",6 days ago,,library-jobs
2023-08-29,Conservation Technician I,Greenville Water,"Travelers Rest, SC",10 days ago,,library-jobs
2023-08-29,Exhibits Technician,Rockford Park District,"Rockford, IL",12 days ago,,library-jobs
2023-08-29,Art - History Assistant 23/24,Covenant College Students,"Lookout Mountain, GA",30+ days ago,,library-jobs
2023-08-29,Exhibit Technician I,PacSci,"Seattle, Washington",11 days ago,$21.50–$23                                              Per Hour                                             Full-time,library-jobs
2023-08-29,Senior Exhibition Designer,Jobot,"Kansas City, MO",15 days ago,"$70,000–$85,000                                              Per Year                                             Full-time                                             Employee",library-jobs
2023-08-29,Deputy Public Guardian Conservator II/III (Open & Promotional),County of San Mateo,"San Mateo, CA",30+ days ago,,library-jobs
2023-08-29,Exhibits Technician,State of North Carolina,"Dare County, NC",10 days ago,,library-jobs
2023-08-29,Exhibit Technician,"City of Ocala, FL","FL  34471, FL",7 days ago,,library-jobs
2023-08-29,"Senior Specialist, Exhibition Installation (CA , Los Angeles )",The Academy of Motion Picture Arts,"Los Angeles, CA",7 days ago,,library-jobs
2023-08-29,Preparator (Part-Time),Ferris State University,"Grand Rapids, MI",8 days ago,,library-jobs
2023-08-29,"Associate Registrar, Exhibitions",Whitney Museum of American Art,"New York, NY",11 days ago,,library-jobs
2023-08-29,Temporary Conservation Technician II,"Nebraska State Government, NE","Lincoln, NE",30+ days ago,,library-jobs
2023-08-29,2023 Temporary Conservation Technician I,State of Nebraska,"See job description, NE",30+ days ago,,library-jobs
2023-08-29,Exhibits Assistant - P/T - Gumbo Limbo Nature Center,"City of Boca Raton, Florida","Boca Raton, FL",11 days ago,,library-jobs
2023-08-29,Exhibition Carpenter & Assistant Preparator,Amon Carter Museum of American Art,"Fort Worth, TX",13 days ago,,library-jobs
2023-08-29,Exhibition Carpenter & Assistant Preparator,AMON CARTER MUSEUM OF WESTERN ART,"Fort Worth, TX",15 days ago,,library-jobs
2023-08-29,Gallery Coordinator,Hilton Grand Vacations,"New York, NY",19 days ago,,library-jobs
2023-08-29,Exhibit Technician,Marbles Kids Museum,"Raleigh, NC",20 days ago,,library-jobs
2023-08-29,3522-Senior Museum Preparator,City and County of San Francisco,"San Francisco, CA",21 days ago,,library-jobs
2023-08-29,Museum Manager (Exhibits),City of Las Cruces,"Las Cruces, NM",27 days ago,,library-jobs
2023-08-29,Seasonal Museum Associate,St. Joseph's Indian School,"Chamberlain, SD",30+ days ago,,library-jobs
2023-08-29,Planetarium Educator,State of South Carolina,"Richland County, SC",30+ days ago,,library-jobs
2023-08-29,Exhibit Technician,THIRTEENTH FLOOR ENTERTAINMENT GROUP,"Philadelphia, PA",30+ days ago,,library-jobs
2023-08-29,Assistant Museum Registrar,University of Oregon,"Eugene, OR",30+ days ago,,library-jobs
2023-08-29,Curator,Jobot,"Waimanalo, HI",1 day ago,"$90,000–$100,000                                              Per Year                                             Full-time                                             Employee",library-jobs
2023-08-29,Exhibition Designer,Philadelphia Museum of Art,"Philadelphia, PA",11 days ago,,library-jobs
2023-08-29,Temporary Research Technician - Museum,University of Alaska System,"Fairbanks, AK",30+ days ago,,library-jobs
2023-08-29,Collections Director,Local Finance LLC,"Miami, FL",8 days ago,Full-time,library-jobs
2023-08-29,Event Designer,S2Technologies LLC,"Orlando, Florida",30+ days ago,,library-jobs
2023-08-29,Props Designer and Assistant Scenic Charge,DeSales University,"Center Valley, PA",20 days ago,Full-time,library-jobs
2023-08-29,Producer in Exhibition Design,Ideum,"Corrales, NM",30+ days ago,,library-jobs
2023-08-29,Museum Designer,Middlebury College,"Middlebury, VT",30+ days ago,,library-jobs
2023-08-29,"Event Designer – Full-Time; Boston, MA",Winston Brothers Inc,"Boston, MA",30+ days ago,,library-jobs
2023-08-29,Show Set Designer,ACOMB OSTENDORF & ASSOCIATES LLC,"Winter Park, FL",4 days ago,,library-jobs
2023-08-29,Exhibit Preparation Specialist,Exhibit Concepts Inc.,"Vandalia, OH",30+ days ago,$10–$15                                              Per Hour,library-jobs
2023-08-29,Sullivan Collection Curator (Term),Vanderbilt University,"Nashville, TN",1 day ago,,library-jobs
2023-08-29,Event Designer,"AI Signal Research, Inc (ASRI)","Fort Walton, FL",4 days ago,,library-jobs
2023-08-29,Legal - Archivist (Part-Time),The Wistar Institute,"Philadelphia, Pennsylvania",28 days ago,Part-time,library-jobs
2023-08-29,Museum Specialist - Collections Manager,"Cherokee Nation Businesses, LLC","Washington, DC",30+ days ago,,library-jobs
2023-08-29,Event Designer,Scientific Research Corporation,"Eglin AFB, FL",30+ days ago,,library-jobs
