Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Engineering - Civil,Slay Engineering,"SAN ANTONIO, TX",3 days ago,"$50,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",media-jobs
2023-08-29,County Engineer,Winneshiek County,"Decorah, IA",14 days ago,"$109,000–$140,000                                              Per Year                                             Full-time                                             Actively Hiring",media-jobs
2023-08-29,Engineer for Audio Equipment,Micro Tech,"Boston, MA",30+ days ago,"$70,000                                             Actively Hiring",media-jobs
2023-08-29,Engineering,TSMC North America,"San Jose, CA",2 days ago,Full-time                                             Employee                                             Actively Hiring,media-jobs
2023-08-29,Sr. Engineers,"TransUnion, LLC","Chicago, IL",2 days ago,Full-time                                             Employee                                             Actively Hiring,media-jobs
2023-08-29,Project Engineer,Johnson Service Group,"Charleston, TN",4 days ago,"$110,000–$125,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",media-jobs
2023-08-29,Senior Systems Engineer,Bowhead / UIC Technical Services,"Hill AFB, UT",28 days ago,Actively Hiring,media-jobs
2023-08-29,Subsystem Architecture/Design Engineer,DCS Corporation,"Sterling Heights, MI",Today,Actively Hiring,media-jobs
2023-08-29,12T Technical Engineer,Army National Guard,"Fort Leonard Wood, MO",6 days ago,Actively Hiring,media-jobs
2023-08-29,Engineering - Civil,Slay Engineering,"SAN ANTONIO, TX",3 days ago,"$50,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",media-jobs
2023-08-29,County Engineer,Winneshiek County,"Decorah, IA",14 days ago,"$109,000–$140,000                                              Per Year                                             Full-time                                             Actively Hiring",media-jobs
2023-08-29,Engineer for Audio Equipment,Micro Tech,"Boston, MA",30+ days ago,"$70,000                                             Actively Hiring",media-jobs
2023-08-29,Engineering,TSMC North America,"San Jose, CA",2 days ago,Full-time                                             Employee                                             Actively Hiring,media-jobs
2023-08-29,Senior Systems Engineer,"Credence Management Solutions, LLC","Warner Robins, GA",30+ days ago,Actively Hiring,media-jobs
2023-08-29,ENGINEER - RESEARCH ENGINEER - SPACECRAFT AVIONICS ENGINEER,Southwest Research Institute,"San Antonio, TX",8 days ago,Full-time                                             Employee                                             Actively Hiring,media-jobs
2023-08-29,Senior Systems Engineer,Bowhead / UIC Technical Services,"Hill AFB, UT",28 days ago,Actively Hiring,media-jobs
2023-08-29,Subsystem Architecture/Design Engineer,DCS Corporation,"Sterling Heights, MI",Today,Actively Hiring,media-jobs
2023-08-29,12T Technical Engineer,Army National Guard,"Fort Leonard Wood, MO",6 days ago,Actively Hiring,media-jobs
2023-08-29,Engineering - Civil,Slay Engineering,"SAN ANTONIO, TX",3 days ago,"$50,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",media-jobs
2023-08-29,County Engineer,Winneshiek County,"Decorah, IA",14 days ago,"$109,000–$140,000                                              Per Year                                             Full-time                                             Actively Hiring",media-jobs
2023-08-29,Engineer for Audio Equipment,Micro Tech,"Boston, MA",30+ days ago,"$70,000                                             Actively Hiring",media-jobs
2023-08-29,Engineering,TSMC North America,"San Jose, CA",2 days ago,Full-time                                             Employee                                             Actively Hiring,media-jobs
2023-08-29,Senior Systems Engineer,"Credence Management Solutions, LLC","Warner Robins, GA",30+ days ago,Actively Hiring,media-jobs
2023-08-29,Senior Systems Engineer,Bowhead / UIC Technical Services,"Hill AFB, UT",28 days ago,Actively Hiring,media-jobs
