Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Chemist,Stefanini,"Chattanooga, TN",1 day ago,$20–$28                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,physical-science-jobs
2023-08-29,Liquid Ink Chemist II,LabPersonnel,"Bryan, TX",8 days ago,"$60,000–$80,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",physical-science-jobs
2023-08-29,Technologist I (2nd & 3rd Shift),Eurofins,"Philadelphia, PA",12 days ago,Full-time                                             Actively Hiring,physical-science-jobs
2023-08-29,Receiving Chemist I,Clean Harbors,"Cincinnati, OH",18 days ago,Actively Hiring,physical-science-jobs
2023-08-29,Associate Microbiologist,Eurofins USA Food Testing,"Madison, WI",6 days ago,Actively Hiring,physical-science-jobs
2023-08-29,Chemist,The Fountain Group,"Columbus, OH",27 days ago,$18–$19                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
2023-08-29,Chemist - Quality Control,Stefanini,"Union, NJ",1 day ago,$25–$27                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,physical-science-jobs
2023-08-29,Analytical Chemist for Personal Care Products Co.,LabPersonnel,"Ottawa, IL",8 days ago,$20–$23                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
2023-08-29,SCIENTIST - CHEMIST - PILOT PLANTS,Southwest Research Institute,"San Antonio, TX",28 days ago,Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
2023-08-29,Chemist,Stefanini,"Chattanooga, TN",1 day ago,$20–$28                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,physical-science-jobs
2023-08-29,Liquid Ink Chemist II,LabPersonnel,"Bryan, TX",8 days ago,"$60,000–$80,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",physical-science-jobs
2023-08-29,Technologist I (2nd & 3rd Shift),Eurofins,"Philadelphia, PA",12 days ago,Full-time                                             Actively Hiring,physical-science-jobs
2023-08-29,Receiving Chemist I,Clean Harbors,"Cincinnati, OH",18 days ago,Actively Hiring,physical-science-jobs
2023-08-29,Associate Microbiologist,Eurofins USA Food Testing,"Madison, WI",6 days ago,Actively Hiring,physical-science-jobs
2023-08-29,Chemist,The Fountain Group,"Columbus, OH",27 days ago,$18–$19                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
2023-08-29,Chemist - Quality Control,Stefanini,"Union, NJ",1 day ago,$25–$27                                              Per Hour                                             Temporary                                             Contractor                                             Actively Hiring,physical-science-jobs
2023-08-29,Analytical Chemist for Personal Care Products Co.,LabPersonnel,"Ottawa, IL",8 days ago,$20–$23                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
2023-08-29,SCIENTIST - CHEMIST - PILOT PLANTS,Southwest Research Institute,"San Antonio, TX",28 days ago,Full-time                                             Employee                                             Actively Hiring,physical-science-jobs
