Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Welder-Fitter,"L. Liberato Steel Fabricating Co., Inc.","Spring City, PA",19 days ago,"$30,600–$52,000                                              Per Year                                             Full-time                                             Actively Hiring",production-jobs
2023-08-29,Welder - 2nd Shift,"Ametek, Inc.","Garden City, NY",Today,Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,WELDER TIG PURGE,TUBULAR SOLUTIONS INC,"PORTLAND, OR",Today,$22–$24                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,MIG Welder Fabricator,ASC Process Systems,"VALENCIA, CA",4 days ago,$22–$26                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,WELDER,Rohrer's Quarry,"Lititz, PA",9 days ago,Actively Hiring,production-jobs
2023-08-29,Tig Welder,"iNc EMPIRE, LLC","Delphi, IN",12 days ago,$18–$28                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,production-jobs
2023-08-29,Welder - Journeyman (2nd Shift),Aerojet Rocketdyne,"Canoga Park, CA",13 days ago,Actively Hiring,production-jobs
2023-08-29,Welder-2,Aerojet Rocketdyne,"Redmond, WA",6 days ago,Actively Hiring,production-jobs
2023-08-29,Orbital Welder/Assembler,EMD Electroncis,"Allentown, PA",13 days ago,Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,Welder-Fitter,"L. Liberato Steel Fabricating Co., Inc.","Spring City, PA",19 days ago,"$30,600–$52,000                                              Per Year                                             Full-time                                             Actively Hiring",production-jobs
2023-08-29,Welder - 2nd Shift,"Ametek, Inc.","Garden City, NY",Today,Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,WELDER TIG PURGE,TUBULAR SOLUTIONS INC,"PORTLAND, OR",Today,$22–$24                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,MIG Welder Fabricator,ASC Process Systems,"VALENCIA, CA",4 days ago,$22–$26                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,Pipe Fitter - Fabrication Yard,Gulf Island Fabrication,"Houma, LA",4 days ago,Actively Hiring,production-jobs
2023-08-29,WELDER,Rohrer's Quarry,"Lititz, PA",9 days ago,Actively Hiring,production-jobs
2023-08-29,Tig Welder,"iNc EMPIRE, LLC","Delphi, IN",12 days ago,$18–$28                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,production-jobs
2023-08-29,Welder - Journeyman (2nd Shift),Aerojet Rocketdyne,"Canoga Park, CA",13 days ago,Actively Hiring,production-jobs
2023-08-29,Welder-2,Aerojet Rocketdyne,"Redmond, WA",6 days ago,Actively Hiring,production-jobs
2023-08-29,Welder-Fitter,"L. Liberato Steel Fabricating Co., Inc.","Spring City, PA",19 days ago,"$30,600–$52,000                                              Per Year                                             Full-time                                             Actively Hiring",production-jobs
2023-08-29,Welder - 2nd Shift,"Ametek, Inc.","Garden City, NY",Today,Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,WELDER TIG PURGE,TUBULAR SOLUTIONS INC,"PORTLAND, OR",Today,$22–$24                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,MIG Welder Fabricator,ASC Process Systems,"VALENCIA, CA",4 days ago,$22–$26                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,production-jobs
2023-08-29,WELDER,Rohrer's Quarry,"Lititz, PA",9 days ago,Actively Hiring,production-jobs
2023-08-29,Tig Welder,"iNc EMPIRE, LLC","Delphi, IN",12 days ago,$18–$28                                              Per Hour                                             Temporary                                             Contractor                                             Full-time                                             Actively Hiring,production-jobs
2023-08-29,Welder/Fabricator,American Equipment HR LLC,"Salt Lake City, UT",4 days ago,Actively Hiring,production-jobs
2023-08-29,Welder - Journeyman (2nd Shift),Aerojet Rocketdyne,"Canoga Park, CA",13 days ago,Actively Hiring,production-jobs
2023-08-29,Welder-2,Aerojet Rocketdyne,"Redmond, WA",6 days ago,Actively Hiring,production-jobs
2023-08-29,Welder-Fitter,"L. Liberato Steel Fabricating Co., Inc.","Spring City, PA",19 days ago,"$30,600–$52,000                                              Per Year                                             Full-time                                             Actively Hiring",production-jobs
