Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-30,Fitness Center Coordinator,Tacoma Community College,"Tacoma, WA",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President of Pricing Strategy,Uline,"Pleasant Prairie, WI",14 days ago,Actively Hiring,sports-jobs
2023-08-30,Aquatics Assistant Director,University of California Santa Cruz,"Santa Cruz, CA",8 days ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President for Administration and Finance,Columbia-Greene Community College,"Hudson, NY",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,"Assistant Director, Aquatics",Great Wolf Lodge,"Gurnee, IL",19 days ago,Actively Hiring,sports-jobs
2023-08-30,Regulatory Strategy & Policy Vice President,Citi,"Washington, DC",1 day ago,Actively Hiring,sports-jobs
2023-08-30,Vice President of Accounting,Jobot,"Janesville, WI",10 days ago,"$160,000–$200,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",sports-jobs
2023-08-30,Vice President of Finance & Operations,Jobot,"Twin Falls, ID",6 days ago,"$120,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",sports-jobs
2023-08-30,Dean for Academic Support Services - Palo Alto College,ALAMO COMMUNITY COLLEGE DIST,"SAN ANTONIO, TX",6 days ago,Full-time                                             Employee,sports-jobs
2023-08-30,Fitness Center Coordinator,Tacoma Community College,"Tacoma, WA",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President of Pricing Strategy,Uline,"Pleasant Prairie, WI",14 days ago,Actively Hiring,sports-jobs
2023-08-30,Aquatics Assistant Director,University of California Santa Cruz,"Santa Cruz, CA",8 days ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President for Administration and Finance,Columbia-Greene Community College,"Hudson, NY",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,"Assistant Director, Aquatics",Great Wolf Lodge,"Gurnee, IL",19 days ago,Actively Hiring,sports-jobs
2023-08-30,Regulatory Strategy & Policy Vice President,Citi,"New York, NY",1 day ago,Actively Hiring,sports-jobs
2023-08-30,Vice President of Finance & Operations,Jobot,"Twin Falls, ID",6 days ago,"$120,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",sports-jobs
2023-08-30,Vice President of Accounting,Jobot,"Janesville, WI",10 days ago,"$160,000–$200,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",sports-jobs
2023-08-30,Dean for Academic Support Services - Palo Alto College,ALAMO COMMUNITY COLLEGE DIST,"SAN ANTONIO, TX",6 days ago,Full-time                                             Employee,sports-jobs
2023-08-30,Fitness Center Coordinator,Tacoma Community College,"Tacoma, WA",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President of Pricing Strategy,Uline,"Pleasant Prairie, WI",14 days ago,Actively Hiring,sports-jobs
2023-08-30,Aquatics Assistant Director,University of California Santa Cruz,"Santa Cruz, CA",8 days ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,Vice President for Administration and Finance,Columbia-Greene Community College,"Hudson, NY",1 day ago,Full-time                                             Employee                                             Actively Hiring,sports-jobs
2023-08-30,"Assistant Director, Aquatics",Great Wolf Lodge,"Gurnee, IL",19 days ago,Actively Hiring,sports-jobs
2023-08-30,Regulatory Strategy & Policy Vice President,Citi,"New York, NY",1 day ago,Actively Hiring,sports-jobs
2023-08-30,Vice President of Finance & Operations,Jobot,"Twin Falls, ID",6 days ago,"$120,000–$150,000                                              Per Year                                             Full-time                                             Employee                                             Actively Hiring",sports-jobs
